run_id,trial_number,timestamp,Batch_Configuration,automaton_id,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
33,1,"2026-09-21 14:06:30",3,1,3,8,6,3,45,3,3,0.0666667,0.0666667,6,6,11,5,1,0.454545,0,0,0,0,0,0.662,0,93,0,9,0.2,0
34,1,"2026-09-21 14:06:31",3,2,6,14,12,3,45,3,3,0.0666667,0.0666667,6,11,23,12,1,0.521739,0,0,0,0,0,1.431,0,477,0,10,0.222222,0
35,1,"2026-09-21 14:06:31",3,3,10,58,15,3,45,3,3,0.0666667,0.0666667,6,19,51,32,2,0.627451,0,0,0,0,0,2.158,0,212,0,15,0.333333,0
36,1,"2026-09-21 14:06:34",3,4,16,142,15,3,45,3,3,0.0666667,0.0666667,6,38,188,150,9,0.797872,0,0,0,0,0,8.086,0,2,0,9,0.2,0
37,1,"2026-09-21 14:06:34",3,5,20,200,30,3,45,3,3,0.0666667,0.0666667,6,39,111,72,2,0.648649,0,0,0,0,0,5.647,0,154,0,19,0.422222,0
38,1,"2026-09-21 14:06:34",3,6,27,226,30,3,45,3,3,0.0666667,0.0666667,6,53,153,100,6,0.653595,0,0,0,0,0,8.309,0,52,0,13,0.288889,0
39,1,"2026-09-21 14:06:34",3,7,38,252,54,3,45,3,3,0.0666667,0.0666667,6,70,165,95,1,0.575758,0,0,0,0,0,11.543,0,288,0,20,0.444444,0
40,1,"2026-09-21 14:06:34",3,8,39,350,24,3,45,3,3,0.0666667,0.0666667,6,71,235,164,6,0.697872,0,0,0,0,0,16.542,0,200,0,20,0.444444,0
41,1,"2026-09-21 14:06:35",3,9,40,357,30,3,45,3,3,0.0666667,0.0666667,6,63,205,142,6,0.692683,0,0,0,0,0,15.34,0,3,0,29,0.644444,0
42,1,"2026-09-21 14:06:35",3,10,43,378,33,3,45,3,3,0.0666667,0.0666667,6,66,216,150,6,0.694444,0,0,0,0,0,16.526,0,51,0,18,0.4,0
43,1,"2026-09-21 14:06:37",3,11,55,544,39,3,45,3,3,0.0666667,0.0666667,6,98,337,239,9,0.709199,0,0,0,0,0,33.383,0,58,0,31,0.688889,0
44,1,"2026-09-21 14:06:42",3,12,61,598,42,3,45,3,3,0.0666667,0.0666667,6,104,359,255,9,0.710306,0,0,0,0,0,35.573,0,102,0,30,0.666667,0
45,1,"2026-09-21 14:06:42",3,13,96,1458,21,3,45,3,3,0.0666667,0.0666667,6,101,410,309,6,0.753659,0,0,0,0,0,71.278,0,51,0,19,0.422222,0
46,1,"2026-09-21 14:06:43",3,14,128,2187,21,3,45,3,3,0.0666667,0.0666667,6,134,588,454,7,0.772109,0,0,0,0,0,136.074,0,51,0,19,0.422222,0
47,1,"2026-09-21 14:06:44",3,15,192,4374,24,3,45,3,3,0.0666667,0.0666667,6,198,908,710,7,0.781938,0,0,0,0,0,369.845,0,52,0,19,0.422222,0
48,1,"2026-09-21 14:06:46",3,16,256,6561,24,3,45,3,3,0.0666667,0.0666667,6,263,1294,1031,8,0.796754,0,0,0,0,0,737.274,0,52,0,20,0.444444,0
