run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,num_robots,num_ts_regions,total_computation_time_ms,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,task_allocation_memory_bytes,product_automaton_memory_bytes,product_automaton_nodes,product_automaton_edges,pruning_ratio,explored_product_ratio,tree_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
1,1,"2026-09-08 10:19:15",1,3,3,8,3,6,1.01,6,11,5,1,0,0,0,0,0.454545,0,710,3,1,0
2,1,"2026-09-08 10:19:15",2,3,6,14,3,6,0.483,11,23,12,1,0,0,0,0,0.521739,0,909,3,1,0
3,1,"2026-09-08 10:19:15",3,3,10,58,3,6,1.264,19,51,32,2,0,0,0,0,0.627451,0,1304,3,1,0
4,1,"2026-09-08 10:19:15",4,3,16,142,3,6,5.453,38,188,150,9,0,0,0,0,0.797872,0,669,3,1,0
5,1,"2026-09-08 10:19:15",5,3,20,200,3,6,6.135,39,111,72,2,0,0,0,0,0.648649,0,2658,2,0.666667,0
6,1,"2026-09-08 10:19:15",6,3,27,226,3,6,8.328,53,153,100,6,0,0,0,0,0.653595,0,1014,3,1,0
7,1,"2026-09-08 10:19:21",7,3,38,233,3,6,17.125,72,166,94,2,0,0,0,0,0.566265,0,2673,3,1,0
8,1,"2026-09-08 10:19:22",8,3,39,350,3,6,15.838,71,235,164,6,0,0,0,0,0.697872,0,1037,3,1,0
9,1,"2026-09-08 10:19:37",9,3,40,357,3,6,15.564,63,205,142,6,0,0,0,0,0.692683,0,1026,3,1,0
10,1,"2026-09-08 10:19:37",10,3,43,378,3,6,16.53,66,216,150,6,0,0,0,0,0.694444,0,1157,3,1,0
11,1,"2026-09-08 10:19:39",11,3,55,544,3,6,35.93,98,337,239,9,0,0,0,0,0.709199,0,1937,3,1,0
12,1,"2026-09-08 10:19:44",12,3,61,598,3,6,37.429,104,359,255,9,0,0,0,0,0.710306,0,2094,3,1,0
13,1,"2026-09-08 10:19:44",13,3,96,1458,3,6,77.637,101,410,309,6,0,0,0,0,0.753659,0,682,3,1,0
14,1,"2026-09-08 10:19:45",14,3,128,2187,3,6,158.857,134,588,454,7,0,0,0,0,0.772109,0,682,3,1,0
15,1,"2026-09-08 10:19:45",15,3,192,4374,3,6,436.864,198,908,710,7,0,0,0,0,0.781938,0,882,3,1,0
16,1,"2026-09-08 10:19:46",16,3,256,6561,3,6,873.754,263,1294,1031,8,0,0,0,0,0.796754,0,882,3,1,0
